word,ipa
dawes,dɔz
adams,ædəmz
observers,əbzɹ̩vɹ̩z
realized,ɹilajzd
asexual,æsɛkʃəəl
jellyfish,d͡ʒɛlifɪʃ
youth,juθ
shoulder,ʃowldɹ̩
impeached,ɪmpit͡ʃt
picnicking,pɪknɪkɪŋ
advocated,ædvəkejtəd
ashikaga,æʃɪkɑɡə
convincing,kənvɪnsɪŋ
verde,vɹ̩di
doe,dow
dwindled,dwɪndəld
edith,idɪθ
pagans,pɑɡənz
cosmological,kɔzmɑlɑd͡ʒɪkəl
phage,fəd͡ʒ
festivals,fɛstəvəlz
lull,lʌl
cagney,kæɡni
matteo,mɑtejow
waists,wejsts
pods,pɑdz
progesterone,pɹowd͡ʒɛstɹ̩own
waves,wejvz
violation,vajəlejʃən
uses,jusəz
instalment,ɪnstɑlmənt
yangon,jæŋɡən
woodruff,wʊdɹəf
cell,sɛl
lombardi,lɑmbɑɹdi
ascribed,əskɹajbd
speeds,spidz
casters,kæstɹ̩z
premiership,pɹɛmɪɹʃɪp
frequency,fɹikwənsi
cornered,kɔɹnɹ̩d
leung,luŋ
reznor,ɹɛznɹ̩
anarchy,ænɹ̩ki
specifies,spɛsəfajz
interpretation,ɪntɹ̩pɹɪtejʃən
bureau,bjʊɹow
peeled,pild
joplin,d͡ʒɑplɪn
coherent,kowhɪɹənt
constellation,kɑnstəlejʃən
peking,pikɪŋ
branded,bɹændɪd
microscopes,majkɹəskowps
slick,slɪk
intolerance,ɪntɑlɹ̩əns
saying,sejɪŋ
platoons,plətunz
unnoticed,ənnowtɪst
witherspoon,wɪðɹ̩spun
tyson,tajsən
filled,fɪld
advisers,ædvajzɹ̩z
coalitions,kowəlɪʃənz
performance,pɹ̩fɔɹməns
susurration,suzɹejʃən
magically,mæd͡ʒɪkəli
pratchett,pɹɑt͡ʃɪt
linfield,lɪnfild
underfunding,ʌndɹ̩fʌndɪŋ
altars,ɔltɹ̩z
armoury,ɑɹmɔɹi
replication,ɹɛpləkejʃən
overflowing,owvɹ̩flowɪŋ
deceased,dɪsist
wessel,wɛsəl
feng,fɛŋ
ridding,ɹɪdɪŋ
threat,θɹɛt
cog,kɔɡ
pathology,pəθɑləd͡ʒi
skewer,skjuɹ̩
yourself,jɹ̩sɛlf
silos,sajlowz
constrain,kənstɹejn
stump,stʌmp
forward,fɔɹwɹ̩d
vulgate,vʌlɡejt
zero,zɪɹow
responsibility,ɹispɑnsəbɪləti
volkswagen,vowlkswæɡən
demeanor,dɪminɹ̩
mccall,məkɔl
distinctively,dɪstɪŋktɪvli
romford,ɹɑmfɹ̩d
refuted,ɹɪfjutɪd
periodical,pɪɹiɑdɪkəl
embraces,ɛmbɹejsɪz
skies,skajz
insurgent,ɪnsɹ̩d͡ʒənt
whittemore,wɪtmɔɹ
manhunt,mænhʌnt
unilateral,junəlætɹ̩əl
cafe,kəfej
maynard,mejnɹ̩d
embarrass,ɪmbɛɹəs
demonstrated,dɛmənstɹejtəd
gmo,ɡmow
tilt,tɪlt
cava,kɑvə
vain,vejn
bechtel,bɛktɛl
canfield,kænfild
apollo,əpɑlow
calipers,kæləpɹ̩z
siegfried,siɡfɹid
porpoise,pɔɹpəz
yerkes,jɹ̩kiz
collins,kɑlɪnz
fringes,fɹɪnd͡ʒɪz
falconry,fælkənɹi
operative,ɑpɹ̩ətɪv
altogether,ɔltəɡɛðɹ̩
varney,vɑɹni
stolons,stəlɑnz
sounds,sawndz
calico,kæləkow
forecasts,fɔɹkæsts
toes,towz
staggering,stæɡɹ̩ɪŋ
invaded,ɪnvejdəd
abbess,æbəs
wreckers,ɹɛkɹ̩z
macdougall,məkduɡəl
imitating,ɪmətejtɪŋ
spells,spɛlz
instrumental,ɪnstɹəmɛntəl
hendrickson,hɛndɹɪksən
embellishment,ɛmbɛlɪʃmənt
cape,kejp
zork,zɔɹk
preservation,pɹɛzɹ̩vejʃən
musiri,mjuzɪɹi
designated,dɛzɪɡnejtɪd
ogilvy,owɡəlvi
punish,pʌnɪʃ
advise,ædvajz
bengals,bɛŋɡəlz
ships,ʃɪps
impediment,ɪmpɛdəmənt
niece,nis
inference,ɪnfɹ̩əns
rufous,ɹufəs
yorkers,jɔɹkɹ̩z
mccune,məkjun
them,ðɛm
reliability,ɹilajəbɪləti
gershwin,ɡɹ̩ʃwɪn
grain,ɡɹejn
theatrical,θiætɹɪkəl
enroll,ɛnɹowl
deafened,dɛfənd
gregorian,ɡɹəɡɔɹiən
pounds,pawndz
gibraltar,d͡ʒɪbɹɔltɹ̩
seniors,sinjɹ̩z
montes,mɑntiz
checksums,t͡ʃɛksəmz
tendencies,tɛndənsiz
butcher,bʊt͡ʃɹ̩
composure,kəmpowʒɹ̩
trafford,tɹæfɹ̩d
need,nid
sorely,sɔɹli
veitch,vajt͡ʃ
bearer,bɛɹɹ̩
vitally,vajtəli
horned,hɔɹnd
romans,ɹowmənz
blame,blejm
menu,mɛnju
changchun,t͡ʃɑŋt͡ʃʊn
remarks,ɹɪmɑɹks
matters,mætɹ̩z
predictive,pɹɪdɪktɪv
armored,ɑɹmɹ̩d
overturn,owvɹ̩tɹ̩n
dish,dɪʃ
dogwalkers,dɔɡwɔkɹ̩z
sarcastically,sɑɹkæstɪkli
glanville,ɡlænvɪl
stoop,stup
technically,tɛknɪkəli
isthmus,ɪsməs
pubic,pubɪk
possum,pɑsəm
sami,sæmi
though,ðow
captions,kæpʃənz
correspond,kɔɹəspɑnd
gliders,ɡlajdɹ̩z
splitting,splɪtɪŋ
folsom,fowlsəm
heavily,hɛvəli
contented,kəntɛntəd
milne,mɪln
fifties,fɪftiz
prostrate,pɹɑstɹejt
unleashing,ənliʃɪŋ
containment,kəntejnmənt
penance,pɛnəns
design,dɪzajn
consecutively,kənsɪkjətɪvli
caution,kɑʃən
substitute,sʌbstətut
japan,d͡ʒəpæn
fyodor,fjowdɹ̩
durand,dɹənd
constellations,kɑnstəlejʃənz
expresses,ɪkspɹɛsəz
carpet,kɑɹpət
applying,əplajɪŋ
hunches,hʌnt͡ʃɪz
rollin,ɹɑlɪn
showgrounds,ʃawɡɹawndz
manganese,mæŋɡəniz
expectancy,ɪkspɛktənsi
klang,klæŋ
overall,owvɹ̩ɔl
insists,ɪnsɪsts
magical,mæd͡ʒɪkəl
appleby,æplɪbi
gallant,ɡælənt
roslyn,ɹɑzlɪn
haw,hɔ
eton,itən
extensible,ɪkstɛnsəbəl
lamont,ləmɑnt
distrust,dɪstɹʌst
symbolises,sɪmbəlajzɪz
confines,kɑnfajnz
embody,ɪmbɑdi
icon,ajkɑn
posture,pɑst͡ʃɹ̩
epochs,ɛpəks
redesigned,ɹidɪzajnd
dino,dinow
helsinki,hɛlsɪŋki
swelled,swɛld
clearings,klɪɹɪŋz
immature,ɪmətjʊɹ
nuggets,nʌɡəts
slang,slæŋ
generalizes,d͡ʒɛnɹ̩əlajzɪz
beats,bits
carton,kɑɹtən
oxnard,ɑksnɹ̩d
gottfried,ɡɔtfɹid
piezoelectric,pizowɪlɛktɹɪk
virginity,vɹ̩d͡ʒɪnɪti
boredom,bɔɹdəm
testament,tɛstəmənt
struggling,stɹʌɡəlɪŋ
cows,kawz
mornington,mɔɹnɪŋtən
hotly,hɑtli
roundup,ɹawndʌp
wetter,wɛtɹ̩
history,hɪstɹ̩i
intuitive,ɪntuətɪv
baboon,bəbun
meritorious,mɛɹətɔɹiəs
paying,pejɪŋ
jacqueline,d͡ʒækwəlɪn
looney,luni
chemistry,kɛməstɹi
madeline,mædəlɪn
coushatta,kʃætə
unfounded,ənfawndɪd
broadcasters,bɹɔdkæstɹ̩z
sally,sæli
disheveled,dɪʃɛvəld
projector,pɹəd͡ʒɛktɹ̩
blythe,blajð
cessna,sɛsnə
receipt,ɹɪsit
denoted,dɪnowtəd
reg,ɹɛɡ
veg,vɛɡ
darwinian,dɑɹwɪniən
hooey,hui
enters,ɛntɹ̩z
calvary,kælvɹ̩i
fertilisation,fɹ̩təlɪsejʃən
chadwick,t͡ʃædwɪk
christoph,kɹɪstɔf
gardening,ɡɑɹdənɪŋ
excerpt,ɛksɹ̩pt
blurred,blɹ̩d
educate,ɛd͡ʒəkejt
murmur,mɹ̩mɹ̩
imperialist,ɪmpɪɹiəlɪst
neonatal,niownejtəl
albemarle,ælbəmɑɹl
addis,ɑdɪs
codec,kowdɪk
stillman,stɪlmən
townspeople,tawnzpipəl
natives,nejtɪvz
seung,suŋ
mail,mejl
ltd,lɪmɪtɪd
colored,kʌlɹ̩d
wesley,wɛsli
fetched,fɛt͡ʃt
booster,bustɹ̩
bursts,bɹ̩sts
medication,mɛdəkejʃən
monk,mʌŋk
ritually,ɹɪt͡ʃəəli
cress,kɹɛs
administer,ədmɪnəstɹ̩
consorts,kɑnsɔɹts
convicts,kɑnvɪkts
canopy,kænəpi
gyms,d͡ʒɪmz
exteriors,ɛkstɪɹiɹ̩z
heh,hɛ
arrow,æɹow
navigators,nævəɡejtɹ̩z
bernice,bɹ̩nis
apostle,əpɑsəl
rhett,ɹɛt
scripture,skɹɪpt͡ʃɹ̩
stacking,stækɪŋ
oaths,owðz
aga,ɑɡə
kon,kɑn
haven,hejvən
bulkley,bʌlkli
purport,pɹ̩pɔɹt
inc,ɪŋk
jagged,d͡ʒæɡd
someplace,sʌmplejs
hid,hɪd
molson,mowlsən
etcher,ɛt͡ʃɹ̩
hutchison,hʌt͡ʃɪsən
girder,ɡɹ̩dɹ̩
epirus,ɪpɪɹəs
upholstery,əpowlstɹ̩i
sarah,sɛɹə
crazy,kɹejzi
encore,ɑnkɔɹ
marquette,mɑɹkɛt
connectors,kənɛktɹ̩z
glycosylation,ɡlajkowsɪlejʃən
colombo,kəlʌmbow
shredded,ʃɹɛdəd
peaches,pit͡ʃəz
mandible,mændəbəl
lipids,ləpədz
gallina,ɡɑlinə
remington,ɹɛmɪŋtən
venice,vɛnəs
planner,plænɹ̩
settled,sɛtəld
fielded,fildɪd
parachutes,pɛɹəʃuts
rockabilly,ɹɑkəbɪli
instructing,ɪnstɹʌktɪŋ
tailgating,tejlɡejtɪŋ
delinquent,dɪlɪŋkwənt
lucius,luʃəs
dazzle,dæzəl
firefight,fajɹfajt
haploid,hæplojd
hamden,hæmdən
perishable,pɛɹɪʃəbəl
attends,ətɛndz
pinchot,pɪnt͡ʃhət
cowes,kawz
carry,kæɹi
niall,najl
flamenco,fləmɛŋkow
tombs,tumz
busts,bʌsts
chance,t͡ʃæns
hill,hɪl
mckinney,məkɪni
deleting,dɪlitɪŋ
costello,kɔstɛlow
maharaj,mɑhɹaj
drupe,dɹup
checker,t͡ʃɛkɹ̩
hacker,hækɹ̩
surrenders,sɹ̩ɛndɹ̩z
transcended,tɹænsɛndɪd
grilled,ɡɹɪld
polarised,powlɛɹajzd
reliably,ɹɪlajəbli
marsalis,mɑɹsəlɪs
desoto,dɪsowtow
tags,tæɡz
demonstration,dɛmənstɹejʃən
theo,θiow
borehole,bɔɹhowl
confederacy,kənfɛdɹ̩əsi
confessional,kənfɛʃənəl
cuisines,kwɪzinz
grandmothers,ɡɹændmʌðɹ̩z
purebred,pjʊɹbɹɛd
hostilities,hɑstɪlətiz
corp,kɔɹp
walkers,wɔkɹ̩z
deeper,dipɹ̩
forster,fɔɹstɹ̩
zoroastrian,zɔɹowæstɹiən
asher,æʃɹ̩
yuki,juki
elapsed,ɪlæpst
tbilisi,təbɪlisi
officials,əfɪʃəlz
sioux,su
afterwork,æftɹ̩wɹ̩k
truss,tɹʌs
photographic,fowtəɡɹæfɪk
genial,d͡ʒinjəl
silhouetted,sɪləuɛtɪd
boldly,bowldli
sunset,sʌnsɛt
nicalls,nɪkɔlz
authorised,ɔθɹ̩ajzd
fates,fejts
unhurried,ənhɹ̩id
whisperer,wɪspɹ̩ɹ̩
coupon,kupɔn
several,sɛvɹəl
wrongful,ɹɔŋfəl
dispute,dɪspjut
hatter,hætɹ̩
raya,ɹejə
thirsty,θɹ̩sti
nitride,najtɹajd
strahan,stɹæhən
frontage,fɹʌntɪd͡ʒ
lionel,lajənəl
ironworks,ajɹ̩nwɹ̩ks
reaction,ɹiækʃən
wien,win
mamluk,mɑmlək
stoke,stowk
sorbian,sɔɹbiən
blaring,blɛɹɪŋ
barker,bɑɹkɹ̩
torso,tɔɹsow
breakwater,bɹejkwɔtɹ̩
studies,stʌdiz
dongle,dɔŋəl
vineyards,vɪnjɹ̩dz
meriden,mɛɹɪdən
postbox,powstbɑks
notable,nowtəbəl
migrations,majɡɹejʃənz
texans,tɛksənz
probability,pɹɑbəbɪləti
boyd,bojd
congratulate,kənɡɹæt͡ʃəlejt
exams,ɪɡzæmz
borchester,bɔɹt͡ʃɛstɹ̩
rewritten,ɹiɹɪtən
vedic,vɛdɪk
koala,kowɑlə
loved,lʌvd
distinctions,dɪstɪŋkʃənz
leblanc,ləblæŋk
attenuated,ətɛnjuejtɪd
extrajudicial,ɪkstɹəd͡ʒudɪʃəl
interchange,ɪntɹ̩t͡ʃejnd͡ʒ
dont,downt
epilepsy,ɛpəlɛpsi
slowed,slowd
lengthened,lɛŋθənd
curiously,kjʊɹiəsli
primitive,pɹɪmətɪv
inertia,ɪnɹ̩ʃə
torch,tɔɹt͡ʃ
ghostly,ɡowstli
desktop,dɛsktɑp
pyongyang,pjɔŋjæŋ
dll,dl
highways,hajwejz
meteorologist,mitiɹ̩ɑləd͡ʒɪst
mcdonnell,məkdɑnəl
marr,mɑɹ
detector,dɪtɛktɹ̩
survivor,sɹ̩vajvɹ̩
tasks,tæsks
ward,wɔɹd
allende,ɑjɛndej
disgraced,dɪsɡɹejst
punjabi,pənd͡ʒɑbi
newborns,nubɔɹnz
detonate,dɛtənejt
heighten,hajtən
velocities,vəlɑsətiz
murphy,mɹ̩fi
needy,nidi
accordance,əkɔɹdəns
undulating,ʌnd͡ʒəlejtɪŋ
magnets,mæɡnəts
right,ɹajt
finn,fɪn
newbery,nubɛɹi
hug,hʌɡ
chessmen,t͡ʃɛsmɪn
silesian,sajlizən
constituent,kənstɪt͡ʃuənt
increasingly,ɪnkɹisɪŋli
aulus,ɔləs
haldimand,hɑldimænd
synapse,sɪnæps
aisle,ajl
dedication,dɛdəkejʃən
diffraction,dɪfɹækʃən
pale,pejl
itchy,ɪt͡ʃi
safety,sejfti
anxiety,æŋzajəti
mackey,mæki
shrunk,ʃɹʌŋk
elemental,ɛləmɛntəl
curated,kjʊɹejtɪd
reilly,ɹajli
braga,bɹɑɡə
patronize,pejtɹənajz
beasts,bists
confuse,kənfjuz
chuck,t͡ʃʌk
wellman,wɛlmən
milton,mɪltən
nugent,nud͡ʒənt
debated,dəbejtɪd
cairns,kɛɹnz
tagged,tæɡd
measurable,mɛʒɹ̩əbəl
composition,kɑmpəzɪʃən
caretakers,kɛɹtejkɹ̩z
ham,hæm
maui,mawi
elliot,ɛliət
uzbekistan,uzbɛkɪstæn
pittsfield,pɪtsfild
eco,ikow
lethbridge,lɛθbɹɪd͡ʒ
adriatic,ejdɹiætɪk
theatres,θiətɹ̩z
norwegian,nɔɹwid͡ʒən
mangalore,mɑŋɡəlɔɹ
resent,ɹɪzɛnt
gel,d͡ʒɛl
paved,pejvd
research,ɹisɹ̩t͡ʃ
harvard,hɑɹvɹ̩d
boomtown,bumtawn
cashmere,kæʒmɪɹ
chopping,t͡ʃɑpɪŋ
slasher,slæʃɹ̩
guaranteed,ɡɛɹəntid
elms,ɛlmz
ply,plaj
invent,ɪnvɛnt
continuing,kəntɪnjuɪŋ
consistency,kənsɪstənsi
abkhaz,æbkɑz
musicals,mjuzɪkəlz
butt,bʌt
compromising,kɑmpɹəmajzɪŋ
sevastopol,sɛvəstɑpowl
disappointing,dɪsəpojntɪŋ
lures,lʊɹz
crests,kɹɛsts
sunroof,sʌnɹuf
splintered,splɪntɹ̩d
overdubbed,owvɹ̩dʌbd
porphyry,pɔɹfɹ̩i
indian,ɪndiən
operas,ɑpɹəz
brigade,bɹəɡejd
developing,dɪvɛləpɪŋ
appraisal,əpɹejzəl
glow,ɡlow
profit,pɹɑfət
ilkley,ɪlkli
sniper,snajpɹ̩
warmth,wɔɹmθ
lindberg,lajndbɹ̩ɡ
miners,majnɹ̩z
deceive,dɪsiv
tilbrook,tɪlbɹʊk
rankin,ɹæŋkɪn
marques,mɑɹks
depended,dɪpɛndəd
flattery,flætɹ̩i
enumeration,ɪnumɹ̩ejʃən
airbnb,ɛɹbnb
ceramics,sɹ̩æmɪks
dina,dinə
marquess,mɑɹkwəs
initiation,ɪnɪʃiejʃən
flawed,flɔd
easy,izi
spear,spɪɹ
tate,tejt
tripoli,tɹɪpəli
asakusa,ɑsəkusə
prakash,pɹɑkæʃ
wattle,wɑtəl
emergency,ɪmɹ̩d͡ʒənsi
isa,isə
skipping,skɪpɪŋ
dairy,dɛɹi
mun,mʌn
strip,stɹɪp
chairperson,t͡ʃɛɹpɹ̩sən
voodoo,vudu
arabella,æɹəbɛlə
cul,kʊl
corrosion,kɹ̩owʒən
ayres,ɛɹz
harlem,hɑɹləm
staffs,stæfs
blasters,blæstɹ̩z
distantly,dɪstəntli
vases,vejsəz
madison,mædəsən
allotments,əlɑtmənts
thousands,θawzəndz
lays,lejz
abstractions,æbstɹækʃənz
adhering,ədhɪɹɪŋ
loudhailer,lawdhejlɹ̩
big,bɪɡ
owning,ownɪŋ
bruises,bɹuzəz
beni,bɛni
specificity,spɛsəfɪsəti
graduation,ɡɹæd͡ʒuejʃən
medicinally,mədɪsənəli
brazilian,bɹəzɪljən
verification,vɛɹəfəkejʃən
ligand,lɪɡənd
classicism,klæsɪsɪzəm
text,tɛkst
authorship,ɔθɹ̩ʃɪp
kylie,kajli
benchmarks,bɛnt͡ʃmɑɹks
chapman,t͡ʃæpmən
pulls,pʊlz
hasty,hejsti
heron,hɛɹən
termite,tɹ̩majt
sixpence,sɪkspəns
cleaning,klinɪŋ
tashkent,tæʃkɛnt
wilder,wajldɹ̩
full,fʊl
cloak,klowk
botanists,bətənɪsts
awful,ɑfəl
absorption,əbzɔɹpʃən
funding,fʌndɪŋ
peril,pɛɹəl
shawn,ʃɔn
daegu,dejɡu
mat,mæt
sinus,sajnəs
tasty,tejsti
lola,lowlə
serling,sɹ̩lɪŋ
collaborator,kəlæbɹ̩ejtɹ̩
oils,ojlz
disregarded,dɪsɹɪɡɑɹdɪd
gino,d͡ʒinow
regroup,ɹiɡɹup
github,d͡ʒɪθəb
sax,sæks
humbug,hʌmbʌɡ
given,ɡɪvən
atoll,ætɑl
ware,wɛɹ
nachman,nækmən
instated,ɪnstejtɪd
genera,d͡ʒɛnɹ̩ə
cruz,kɹuz
wished,wɪʃt
tiller,tɪlɹ̩
recounting,ɹɪkawntɪŋ
route,ɹut
embarking,ɛmbɑɹkɪŋ
estimating,ɛstəmejtɪŋ
railings,ɹejlɪŋz
pleaded,plidəd
edgeworth,ɛd͡ʒwɹ̩θ
madness,mædnəs
rene,ɹənej
mortally,mɔɹtəli
layers,lejɹ̩z
readily,ɹɛdəli
radicalism,ɹædɪkəlɪzəm
subgroups,sʌbɡɹups
hail,hejl
soldier,sowld͡ʒɹ̩
initiate,ɪnɪʃiət
aruba,ɹ̩ubə
rumble,ɹʌmbəl
frog,fɹɑɡ
oyster,ojstɹ̩
gained,ɡejnd
tireless,tajɹ̩ləs
beaumont,bowmɔnt
engaged,ɛnɡejd͡ʒd
madhya,mædjə
plowing,plawɪŋ
laid,lejd
mcwilliams,məkwɪljəmz
enamel,ɪnæməl
starfleet,stɑɹflit
weightlifter,wejtlɪftɹ̩
connaught,kɑnɔt
louth,lawθ
pearsall,pɹ̩səl
yakuza,jɑkuzə
minardi,mɪnɑɹdi
sniffles,snɪfəlz
charlemagne,ʃɑɹləmejn
